Date,Gold_Price,Silver_Price
2020-01-01,40745.07,468.57
2020-01-02,39877.6,458.59
2020-01-03,41141.53,473.13
2020-01-04,42539.54,489.2
2020-01-05,39988.77,459.87
2020-01-06,40073.79,460.85
2020-01-07,42878.82,493.11
2020-01-08,41746.15,480.08
2020-01-09,39975.79,459.72
2020-01-10,41578.84,478.16
2020-01-11,40154.87,461.78
2020-01-12,40236.41,462.72
2020-01-13,41382.94,475.9
2020-01-14,38235.08,439.7
2020-01-15,38602.62,443.93
2020-01-16,40431.57,464.96
2020-01-17,39840.75,458.17
2020-01-18,41916.37,482.04
2020-01-19,40167.96,461.93
2020-01-20,39496.54,454.21
2020-01-21,43898.47,504.83
2020-01-22,41446.34,476.63
2020-01-23,41971.29,482.67
2020-01-24,39817.88,457.91
2020-01-25,41223.43,474.07
2020-01-26,42291.38,486.35
2020-01-27,40483.51,465.56
2020-01-28,42858.55,492.87
2020-01-29,41479.04,477.01
2020-01-30,42027.46,483.32
2020-01-31,41647.44,478.95
2020-02-01,45413.42,522.25
2020-02-02,42699.75,491.05
2020-02-03,41218.43,474.01
2020-02-04,44123.82,507.42
2020-02-05,41143.73,473.15
2020-02-06,43373.3,498.79
2020-02-07,40205.49,462.36
2020-02-08,41237.72,474.23
2020-02-09,43610.29,501.52
2020-02-10,44507.7,511.84
2020-02-11,43742.05,503.03
2020-02-12,43396.53,499.06
2020-02-13,43203.34,496.84
2020-02-14,41522.22,477.51
2020-02-15,42745.23,491.57
2020-02-16,43219.04,497.02
2020-02-17,45580.68,524.18
2020-02-18,44595.43,512.85
2020-02-19,41520.44,477.49
2020-02-20,44736.13,514.47
2020-02-21,43757.38,503.21
2020-02-22,43404.62,499.15
2020-02-23,45422.51,522.36
2020-02-24,46136.5,530.57
2020-02-25,46071.92,529.83
2020-02-26,43501.17,500.26
2020-02-27,44381.18,510.38
2020-02-28,45426.9,522.41
2020-02-29,46478.32,534.5
2020-03-01,44381.24,510.38
2020-03-02,44906.51,516.42
2020-03-03,43610.5,501.52
2020-03-04,43560.69,500.95
2020-03-05,46658.79,536.58
2020-03-06,47559.36,546.93
2020-03-07,45501.98,523.27
2020-03-08,47200.3,542.8
2020-03-09,46322.45,532.71
2020-03-10,44897.32,516.32
2020-03-11,46492.09,534.66
2020-03-12,48342.05,555.93
2020-03-13,46066.26,529.76
2020-03-14,48551.97,558.35
2020-03-15,42360.38,487.14
2020-03-16,47607.85,547.49
2020-03-17,46590.57,535.79
2020-03-18,46096.49,530.11
2020-03-19,46767.64,537.83
2020-03-20,43733.65,502.94
2020-03-21,46470.49,534.41
2020-03-22,47420.67,545.34
2020-03-23,49186.84,565.65
2020-03-24,46277.59,532.19
2020-03-25,45927.26,528.16
2020-03-26,46472.36,534.43
2020-03-27,48683.1,559.86
2020-03-28,47888.13,550.71
2020-03-29,46685.36,536.88
2020-03-30,48334.9,555.85
2020-03-31,47795.62,549.65
2020-04-01,49187.97,565.66
2020-04-02,46766.92,537.82
2020-04-03,47413.51,545.26
2020-04-04,47401.84,545.12
2020-04-05,45879.73,527.62
2020-04-06,48604.18,558.95
2020-04-07,48636.58,559.32
2020-04-08,48337.67,555.88
2020-04-09,48063.12,552.73
2020-04-10,46376.94,533.33
2020-04-11,47954.03,551.47
2020-04-12,48155.93,553.79
2020-04-13,47551.58,546.84
2020-04-14,48598.07,558.88
2020-04-15,49531.08,569.61
2020-04-16,51839.28,596.15
2020-04-17,49356.87,567.6
2020-04-18,49566.33,570.01
2020-04-19,49153.33,565.26
2020-04-20,46471.84,534.43
2020-04-21,49395.23,568.05
2020-04-22,49610.35,570.52
2020-04-23,53299.86,612.95
2020-04-24,49401.46,568.12
2020-04-25,50227.32,577.61
2020-04-26,49807.93,572.79
2020-04-27,48191.98,554.21
2020-04-28,51744.23,595.06
